ID,Flybase,Accession,Gene Name,logFC,logCPM,LR,PValue,fdr,Up-regulated in
GB42737,FBgn0052602,XM_006561886.1," PREDICTED: Apis mellifera uncharacterized LOC724395 (LOC724395), mRNA",-3.066523321,3.892735542,29.79353294,4.81E-08,8.39E-06,Reproductive
GB52841,#N/A,XM_003250894.2," PREDICTED: Apis mellifera uncharacterized LOC100578055 (LOC100578055), transcript variant X1, mRNA",-3.053383652,9.825372692,11.64443844,0.000643948,0.0078096,Reproductive
GB52831,#N/A,XM_003250895.2," PREDICTED: Apis mellifera uncharacterized LOC100578107 (LOC100578107), mRNA",-3.033239301,5.923722147,10.42690077,0.00124193,0.012254782,Reproductive
GB54808,#N/A,XM_393065.5," PREDICTED: Apis mellifera maelstrom (mael), transcript variant X3, mRNA",-2.951994276,8.427932678,24.51007859,7.39E-07,5.67E-05,Reproductive
GB47483,#N/A,XM_003251565.2," PREDICTED: Apis mellifera histone H2A-like (LOC726468), transcript variant 1, mRNA",-2.917270889,6.256474754,21.40156288,3.72E-06,0.000178549,Reproductive
GB47486,FBgn0053857,XM_003251571.2," PREDICTED: Apis mellifera histone H3-like (LOC726542), transcript variant 1, mRNA",-2.908372977,7.362586413,29.09304639,6.90E-08,1.06E-05,Reproductive
GB54424,#N/A,XM_006559203.1," PREDICTED: Apis mellifera PCNA-associated factor-like (LOC102655670), mRNA",-2.90291353,-0.104606943,38.00463416,7.06E-10,5.39E-07,Reproductive
GB54810,#N/A,#N/A,#N/A,-2.859948355,6.205794408,11.00631,0.000908022,0.009834859,Reproductive
GB43566,FBgn0045980,XM_006560245.1," PREDICTED: Apis mellifera serine/threonine-protein kinase Nek5-like (LOC102654315), partial mRNA",-2.852410488,2.146867056,43.57758121,4.07E-11,7.03E-08,Reproductive
GB47406,FBgn0053895,XM_006570800.1," PREDICTED: Apis mellifera histone H4-like (LOC102655073), mRNA",-2.8070209,7.800554002,18.4816822,1.72E-05,0.000538595,Reproductive
GB44993,#N/A,XR_410633.1," PREDICTED: Apis mellifera uncharacterized LOC102656066 (LOC102656066), transcript variant X1, ncRNA",-2.7961623,2.090017841,14.99833366,0.000107606,0.002077742,Reproductive
GB48966,FBgn0000251,NM_001252430.1," Apis mellifera homeotic protein caudal (cad), mRNA",-2.793777814,9.182189857,18.89108505,1.38E-05,0.000455215,Reproductive
GB45180,#N/A,XM_006566759.1," PREDICTED: Apis mellifera myosin-1-like (LOC100578575), mRNA",-2.768889843,2.43122804,27.77450566,1.36E-07,1.77E-05,Reproductive
GB55448,#N/A,XM_006569124.1," PREDICTED: Apis mellifera uncharacterized LOC412314 (LOC412314), mRNA",-2.76371241,5.469834359,10.12012844,0.001466588,0.013894182,Reproductive
GB52668,#N/A,XM_003251849.2," PREDICTED: Apis mellifera uncharacterized LOC100578553 (LOC100578553), mRNA",-2.759812713,0.508174249,30.03213872,4.25E-08,7.72E-06,Reproductive
GB43686,FBgn0039305,XM_003251769.2," PREDICTED: Apis mellifera uncharacterized LOC100578468 (LOC100578468), transcript variant X1, mRNA",-2.757465457,6.241010802,43.76898884,3.70E-11,7.03E-08,Reproductive
GB53301,#N/A,XM_001121575.3," PREDICTED: Apis mellifera NF-kappa-B inhibitor cactus-like (LOC725766), mRNA",-2.755184792,6.037585097,16.67486207,4.44E-05,0.001089129,Reproductive
GB48462,FBgn0259745,XM_001120644.3," PREDICTED: Apis mellifera tripartite motif-containing protein 71-like (LOC724752), transcript variant X1, mRNA",-2.752583295,8.330899723,16.88157929,3.98E-05,0.001004295,Reproductive
GB40681,#N/A,XM_003250013.2," PREDICTED: Apis mellifera elongation of very long chain fatty acids protein 1-like (LOC100578829), mRNA",-2.733570598,3.666288333,33.6787149,6.50E-09,1.98E-06,Reproductive
GB48899,#N/A,XM_006572034.1," PREDICTED: Apis mellifera farnesyl pyrophosphate synthase-like (LOC102654683), partial mRNA",-2.731734726,8.150921026,18.40019167,1.79E-05,0.000558664,Reproductive
GB46398,#N/A,XM_001121066.3," PREDICTED: Apis mellifera giant (gt), transcript variant X1, mRNA",-2.722111229,3.918361596,31.1981977,2.33E-08,4.85E-06,Reproductive
GB41699,#N/A,XM_006565681.1," PREDICTED: Apis mellifera uncharacterized LOC102654676 (LOC102654676), mRNA",-2.710239702,6.480495159,25.17391702,5.24E-07,4.55E-05,Reproductive
GB42799,FBgn0038395,XM_001122734.3," PREDICTED: Apis mellifera protein takeout-like (LOC727021), mRNA",-2.706299453,3.568631086,22.16483487,2.50E-06,0.000135312,Reproductive
GB45601,#N/A,#N/A,#N/A,-2.691352644,-1.205267349,9.376486961,0.002197863,0.018627291,Reproductive
GB49913,#N/A,#N/A,#N/A,-2.688766092,-1.770980782,11.42780164,0.000723532,0.008473044,Reproductive
GB50888,#N/A,XM_003250773.2," PREDICTED: Apis mellifera uncharacterized LOC100578316 (LOC100578316), mRNA",-2.672001681,4.549906052,24.19909825,8.69E-07,6.28E-05,Reproductive
GB45745,#N/A,XM_006572693.1," PREDICTED: Apis mellifera uncharacterized LOC102655387 (LOC102655387), mRNA",-2.664019755,-1.724318628,9.47349861,0.002084614,0.017976819,Reproductive
GB49867,#N/A,#N/A,#N/A,-2.645031048,-1.760611278,10.95868527,0.000931659,0.010020312,Reproductive
GB51475,FBgn0050395,XM_006567319.1," PREDICTED: Apis mellifera flocculation protein FLO11-like (LOC102656217), mRNA",-2.642599461,2.441537176,23.76545197,1.09E-06,7.45E-05,Reproductive
GB52533,#N/A,XM_006566623.1," PREDICTED: Apis mellifera uncharacterized LOC100576557 (LOC100576557), transcript variant X4, mRNA",-2.619757791,-2.548771297,20.48857133,6.00E-06,0.000253218,Reproductive
GB43867,#N/A,XM_003250290.2," PREDICTED: Apis mellifera uncharacterized LOC100577382 (LOC100577382), mRNA",-2.60035384,4.208078143,27.66255621,1.44E-07,1.81E-05,Reproductive
GB45190,#N/A,#N/A,#N/A,-2.59374425,2.360171818,20.19841628,6.98E-06,0.000282139,Reproductive
GB45178,#N/A,#N/A,#N/A,-2.589324275,2.124536906,13.75708959,0.000208034,0.003430373,Reproductive
GB52320,#N/A,XM_006557891.1," PREDICTED: Apis mellifera uncharacterized LOC100578903 (LOC100578903), mRNA",-2.584104878,8.711022797,13.98017147,0.000184749,0.003157978,Reproductive
GB54962,#N/A,XM_006571461.1," PREDICTED: Apis mellifera uncharacterized LOC102655636 (LOC102655636), mRNA",-2.582853524,0.675840331,14.26450386,0.000158832,0.002826244,Reproductive
GB46762,#N/A,XM_006562126.1," PREDICTED: Apis mellifera cyclin-dependent kinases regulatory subunit-like (LOC726047), mRNA",-2.571389482,3.858992296,33.33321047,7.76E-09,2.31E-06,Reproductive
GB51781,#N/A,XM_003249352.2," PREDICTED: Apis mellifera uncharacterized LOC100577596 (LOC100577596), mRNA",-2.533650357,4.189548334,22.2390079,2.41E-06,0.000132051,Reproductive
GB46515,#N/A,XM_624606.4," PREDICTED: Apis mellifera esterase B1-like (LOC552229), mRNA",-2.532896473,2.100777261,22.04246018,2.67E-06,0.000139743,Reproductive
GB45830,FBgn0004379,XM_001119963.3," PREDICTED: Apis mellifera kinesin 8 (kinesin-8), mRNA",-2.528260275,4.981110813,20.34037098,6.48E-06,0.0002697,Reproductive
GB47019,#N/A,#N/A,#N/A,-2.523489445,0.644181429,26.9059964,2.14E-07,2.32E-05,Reproductive
GB50058,#N/A,XM_003250221.2," PREDICTED: Apis mellifera uncharacterized LOC100576891 (LOC100576891), mRNA",-2.522318589,1.157340297,38.38572315,5.81E-10,5.03E-07,Reproductive
GB45137,FBgn0051641,XM_006566363.1," PREDICTED: Apis mellifera uncharacterized LOC552651 (LOC552651), transcript variant X1, mRNA",-2.520176745,6.543629426,26.94761474,2.09E-07,2.32E-05,Reproductive
GB44944,FBgn0002924,XM_001122238.3," PREDICTED: Apis mellifera kinesin 14 (kinesin-14), transcript variant X1, mRNA",-2.519472707,5.39465658,36.94290343,1.22E-09,7.70E-07,Reproductive
GB41172,FBgn0000405,XM_624245.4," PREDICTED: Apis mellifera uncharacterized LOC551860 (LOC551860), mRNA",-2.493621099,5.51832949,22.58392156,2.01E-06,0.000117705,Reproductive
GB49909,#N/A,XM_006565038.1," PREDICTED: Apis mellifera argonaute 3 (Ago3), transcript variant X2, mRNA",-2.481843338,3.829925634,51.22125513,8.25E-13,6.42E-09,Reproductive
GB45241,#N/A,#N/A,#N/A,-2.470597346,-0.805790605,27.85022342,1.31E-07,1.72E-05,Reproductive
GB54847,#N/A,XM_001121644.3," PREDICTED: Apis mellifera uncharacterized LOC725841 (LOC725841), transcript variant X1, mRNA",-2.455541345,5.973590427,29.93980746,4.46E-08,7.97E-06,Reproductive
GB44986,#N/A,XM_006566474.1," PREDICTED: Apis mellifera uncharacterized LOC102656725 (LOC102656725), mRNA",-2.44776777,2.364918129,19.32747104,1.10E-05,0.00038554,Reproductive
GB40047,FBgn0016034,XM_006571971.1," PREDICTED: Apis mellifera protein maelstrom 2-like (LOC100576828), transcript variant X1, mRNA",-2.446601944,4.737286986,44.05084327,3.20E-11,7.03E-08,Reproductive
GB41445,FBgn0000404,XM_006565361.1," PREDICTED: Apis mellifera G2/mitotic-specific cyclin-A-like (LOC102656846), mRNA",-2.435067495,5.664807636,29.11812758,6.81E-08,1.06E-05,Reproductive
GB40699,#N/A,XM_003249995.2," PREDICTED: Apis mellifera leucine-rich repeat-containing protein 15-like (LOC100576903), transcript variant 1, mRNA",-2.432628173,2.9613688,24.93801703,5.92E-07,4.91E-05,Reproductive
GB44977,#N/A,XM_006566488.1," PREDICTED: Apis mellifera uncharacterized LOC102654161 (LOC102654161), mRNA",-2.428716649,2.334808765,18.26979843,1.92E-05,0.000582684,Reproductive
GB53803,FBgn0030551,XM_001120174.3," PREDICTED: Apis mellifera uncharacterized LOC724353 (LOC724353), mRNA",-2.420652622,6.160590237,34.93646214,3.41E-09,1.34E-06,Reproductive
GB43732,FBgn0000147,XM_395732.4," PREDICTED: Apis mellifera serine/threonine protein kinase 6 (Stk6), mRNA",-2.401519666,3.476656511,32.99031696,9.26E-09,2.61E-06,Reproductive
GB48763,#N/A,XM_003251277.2," PREDICTED: Apis mellifera uncharacterized LOC100578780 (LOC100578780), mRNA",-2.395538523,5.506304192,19.60113934,9.54E-06,0.000346862,Reproductive
GB49071,#N/A,XM_001121598.3," PREDICTED: Apis mellifera uncharacterized LOC725791 (LOC725791), mRNA",-2.375792465,2.886703028,31.41196102,2.09E-08,4.53E-06,Reproductive
GB52294,#N/A,XM_006557912.1," PREDICTED: Apis mellifera uncharacterized LOC411058 (LOC411058), mRNA",-2.375708462,2.544351302,11.23936247,0.000800807,0.009081386,Reproductive
GB42435,#N/A,XM_003250620.2," PREDICTED: Apis mellifera SET and MYND domain-containing protein 4-like (LOC100577235), transcript variant X1, mRNA",-2.350849915,5.987582385,21.2129062,4.11E-06,0.00019099,Reproductive
GB49029,FBgn0000606,NM_001252428.1," Apis mellifera segmentation protein even-skipped (eve), mRNA",-2.348387398,7.186952628,20.19197166,7.00E-06,0.00028234,Reproductive
GB50363,#N/A,XM_006559852.1," PREDICTED: Apis mellifera uncharacterized LOC100576540 (LOC100576540), transcript variant X1, mRNA",-2.346195519,0.92614029,12.89784886,0.00032896,0.00486272,Reproductive
GB51172,#N/A,XM_003250774.2," PREDICTED: Apis mellifera uncharacterized LOC100578448 (LOC100578448), mRNA",-2.33697716,2.253725257,18.12720821,2.07E-05,0.000613265,Reproductive
GB50151,#N/A,NM_001040225.1," Apis mellifera odorant binding protein 9 (Obp9), mRNA",-2.331440558,2.062087912,20.07289296,7.45E-06,0.000291958,Reproductive
GB48664,#N/A,XM_001122057.3," PREDICTED: Apis mellifera leucine-rich repeat-containing protein 15-like (LOC726309), mRNA",-2.329183669,5.773000315,35.37547137,2.72E-09,1.29E-06,Reproductive
GB43370,#N/A,#N/A,#N/A,-2.324403651,-2.16347722,9.760890233,0.001782636,0.016076517,Reproductive
GB40966,#N/A,XM_003250533.2," PREDICTED: Apis mellifera uncharacterized LOC100577510 (LOC100577510), mRNA",-2.316894298,3.369892248,33.72434135,6.35E-09,1.97E-06,Reproductive
GB51085,FBgn0035687,XM_006566231.1," PREDICTED: Apis mellifera early growth response protein 1-A-like (LOC102656356), mRNA",-2.299531307,2.999377704,24.53800883,7.29E-07,5.63E-05,Reproductive
GB53255,#N/A,XR_120039.2," PREDICTED: Apis mellifera uncharacterized LOC100578131 (LOC100578131), ncRNA",-2.298996263,0.661406085,22.24648785,2.40E-06,0.000132051,Reproductive
GB48544,FBgn0032101,XM_623497.3," PREDICTED: Apis mellifera coiled-coil domain-containing protein 43-like (LOC551099), mRNA",-2.293399827,7.094529133,30.90204431,2.71E-08,5.29E-06,Reproductive
GB43549,FBgn0004108,XM_391995.5," PREDICTED: Apis mellifera neurotactin (Nrt), mRNA",-2.288883386,3.590252903,40.94179133,1.57E-10,1.83E-07,Reproductive
GB52457,FBgn0003545,XM_006565853.1," PREDICTED: Apis mellifera kinesin A (kinesin-A), mRNA",-2.28658969,4.937428879,22.60524731,1.99E-06,0.000117625,Reproductive
GB43693,#N/A,XM_624023.3," PREDICTED: Apis mellifera cytochrome P450 343A1 (CYP343A1), transcript variant X3, mRNA",-2.281667533,2.834841202,35.96167908,2.01E-09,1.05E-06,Reproductive
GB42460,#N/A,XM_006565450.1," PREDICTED: Apis mellifera glucose dehydrogenase [FAD, quinone]-like (LOC102656570), mRNA",-2.272724635,2.488253765,31.14698244,2.39E-08,4.91E-06,Reproductive
GB49892,#N/A,XM_006565000.1," PREDICTED: Apis mellifera cytochrome P450 6AS17 (CYP6AS17), transcript variant X1, mRNA",-2.266144025,4.818177395,24.31445784,8.18E-07,6.13E-05,Reproductive
GB51887,#N/A,XM_003249148.2," PREDICTED: Apis mellifera uncharacterized LOC100577147 (LOC100577147), mRNA",-2.241478906,4.322928668,26.1775643,3.11E-07,3.10E-05,Reproductive
GB52279,FBgn0038975,NM_001145740.1," Apis mellifera neurexin 1 (Nrx-1), mRNA",-2.226465293,9.641008026,26.00014726,3.41E-07,3.35E-05,Reproductive
GB40292,#N/A,#N/A,#N/A,-2.22529651,-2.498202235,12.55414508,0.000395328,0.005552136,Reproductive
GB46758,#N/A,XR_409299.1," PREDICTED: Apis mellifera uncharacterized LOC102654857 (LOC102654857), transcript variant X2, ncRNA",-2.221874954,3.658489428,13.76208011,0.000207482,0.003428702,Reproductive
GB49401,#N/A,XM_006565238.1," PREDICTED: Apis mellifera protein msta, isoform A-like (LOC725783), mRNA",-2.220663678,4.27397593,43.53473374,4.17E-11,7.03E-08,Reproductive
GB46278,#N/A,XM_006564177.1," PREDICTED: Apis mellifera condensin complex subunit 3-like (LOC413691), mRNA",-2.20587437,0.7646333,28.5956075,8.92E-08,1.33E-05,Reproductive
GB47485,#N/A,XM_001122218.3," PREDICTED: Apis mellifera histone H2B.1/H2B.2-like (LOC726487), mRNA",-2.198197456,7.625037426,11.76956136,0.000602072,0.007456463,Reproductive
GB46303,#N/A,XM_006572410.1," PREDICTED: Apis mellifera adenylate cyclase, terminal-differentiation specific-like (LOC102654472), mRNA",-2.196811309,-1.381140488,22.46127185,2.14E-06,0.000123859,Reproductive
GB50501,#N/A,XM_006572338.1," PREDICTED: Apis mellifera elongation of very long chain fatty acids protein 6-like (LOC726467), mRNA",-2.192879053,-0.175915664,18.7127725,1.52E-05,0.000494476,Reproductive
GB42595,#N/A,NM_001242999.1," Apis mellifera uncharacterized LOC100642173 (LOC100642173), mRNA",-2.184237891,2.559262671,32.86240553,9.89E-09,2.68E-06,Reproductive
GB46064,#N/A,XM_003250066.2," PREDICTED: Apis mellifera uncharacterized LOC100576568 (LOC100576568), mRNA",-2.18230634,4.549028329,18.79971779,1.45E-05,0.000475191,Reproductive
GB46416,#N/A,#N/A,#N/A,-2.176731589,-0.696105242,21.16326672,4.22E-06,0.00019481,Reproductive
GB47768,FBgn0086356,XM_393627.5," PREDICTED: Apis mellifera rac GTPase-activating protein 1-like (LOC410144), mRNA",-2.168991638,5.086455302,34.25599614,4.83E-09,1.71E-06,Reproductive
GB50678,#N/A,XM_003249424.2," PREDICTED: Apis mellifera 2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1-like (LOC725925), transcript variant X1, mRNA",-2.163649556,7.179651737,26.92532676,2.11E-07,2.32E-05,Reproductive
GB46757,FBgn0015371,XM_006562120.1," PREDICTED: Apis mellifera uncharacterized LOC100578984 (LOC100578984), transcript variant X1, mRNA",-2.162482588,10.4114697,16.86252077,4.02E-05,0.001012748,Reproductive
GB55629,#N/A,NM_001098232.1," Apis mellifera capa receptor-like GPCR (LOC726393), mRNA",-2.159461187,3.516254811,39.95507158,2.60E-10,2.82E-07,Reproductive
GB54204,FBgn0000146,NM_001165906.1," Apis mellifera aubergine (aub), mRNA",-2.155778177,7.645162024,25.39089186,4.68E-07,4.18E-05,Reproductive
GB52507,FBgn0036735,XM_006565922.1," PREDICTED: Apis mellifera enhancer of mRNA-decapping protein 3-like (LOC409092), transcript variant X2, mRNA",-2.155077108,5.196662894,38.33453485,5.96E-10,5.03E-07,Reproductive
GB48760,FBgn0004170,XM_003251278.2," PREDICTED: Apis mellifera uncharacterized LOC724458 (LOC724458), transcript variant X1, mRNA",-2.148281225,2.299232451,24.72986634,6.60E-07,5.33E-05,Reproductive
GB40823,FBgn0004649,XM_006563301.1," PREDICTED: Apis mellifera yolkless (yl), mRNA",-2.14560278,8.190572671,20.68109166,5.42E-06,0.000235534,Reproductive
GB42258,#N/A,XR_408577.1," PREDICTED: Apis mellifera uncharacterized LOC100576833 (LOC100576833), ncRNA",-2.135353449,-1.727919393,15.38492315,8.77E-05,0.001792516,Reproductive
GB53769,#N/A,XM_006560157.1," PREDICTED: Apis mellifera uncharacterized LOC100577875 (LOC100577875), transcript variant X2, mRNA",-2.131324067,5.648540509,35.90081035,2.08E-09,1.05E-06,Reproductive
GB50668,#N/A,XM_003249428.2," PREDICTED: Apis mellifera uncharacterized LOC100578442 (LOC100578442), transcript variant X1, mRNA",-2.130344316,6.142539894,19.08967705,1.25E-05,0.000423038,Reproductive
GB47407,#N/A,XM_006570799.1," PREDICTED: Apis mellifera histone H4 (LOC406132), mRNA",-2.124019984,6.472642585,29.63095466,5.23E-08,8.73E-06,Reproductive
GB46850,#N/A,XR_408502.1," PREDICTED: Apis mellifera uncharacterized LOC100577303 (LOC100577303), transcript variant X2, ncRNA",-2.12086555,-2.390011267,9.842897163,0.001704888,0.015616319,Reproductive
GB45674,FBgn0259791,XM_006570188.1," PREDICTED: Apis mellifera aurora borealis (bora), mRNA",-2.106628937,2.066664455,41.47771183,1.19E-10,1.65E-07,Reproductive
GB43705,#N/A,XM_001121836.3," PREDICTED: Apis mellifera sugar transporter ERD6-like 18-like (LOC726066), transcript variant X1, mRNA",-2.104743869,4.47966163,25.92238899,3.55E-07,3.40E-05,Reproductive
GB40295,#N/A,#N/A,#N/A,-2.102101439,-1.537772597,12.15171122,0.000490428,0.006408914,Reproductive
GB47476,#N/A,XM_006570787.1," PREDICTED: Apis mellifera ras GTPase-activating-like protein IQGAP1-like (LOC100578255), mRNA",-2.101363355,3.338551033,29.55309525,5.44E-08,8.99E-06,Reproductive
GB55510,FBgn0032228,XM_394277.4," PREDICTED: Apis mellifera cathepsin J-like (LOC410801), partial mRNA",-2.100350518,1.837272173,18.89274736,1.38E-05,0.000455215,Reproductive
GB40376,#N/A,#N/A,#N/A,-2.09520377,-1.84912229,9.436959118,0.002126558,0.018205733,Reproductive
GB41042,#N/A,XM_003251136.2," PREDICTED: Apis mellifera apoptosis regulator R1-like (LOC100579020), mRNA",-2.094303881,6.953330593,29.85436689,4.66E-08,8.23E-06,Reproductive
GB47909,#N/A,#N/A,#N/A,-2.093419484,-2.49412545,11.09655482,0.000864882,0.009537557,Reproductive
GB50798,#N/A,#N/A,#N/A,-2.092327025,0.902441911,17.1557563,3.44E-05,0.000894523,Reproductive
GB46251,#N/A,XM_006559151.1," PREDICTED: Apis mellifera uncharacterized LOC727230 (LOC727230), transcript variant X1, mRNA",-2.076521764,7.335205924,19.86085137,8.33E-06,0.000315624,Reproductive
GB51349,FBgn0040232,XM_006559392.1," PREDICTED: Apis mellifera kinesin 7A (kinesin-7A), mRNA",-2.072463297,5.828870681,17.22502184,3.32E-05,0.000868432,Reproductive
GB47023,#N/A,XM_006568432.1," PREDICTED: Apis mellifera uncharacterized LOC408733 (LOC408733), transcript variant X2, mRNA",-2.072454565,2.265134054,19.04851815,1.27E-05,0.00043034,Reproductive
GB43556,FBgn0039972,XR_408671.1," PREDICTED: Apis mellifera limkain-b1-like (LOC409429), misc_RNA",-2.070729484,6.425692654,28.1373199,1.13E-07,1.55E-05,Reproductive
GB41422,FBgn0030242,XM_003250580.2," PREDICTED: Apis mellifera probable deoxyhypusine synthase-like (LOC100578266), transcript variant X1, mRNA",-2.069722493,5.045052954,25.12479602,5.37E-07,4.59E-05,Reproductive
GB43809,#N/A,XM_394510.5," PREDICTED: Apis mellifera viral IAP-associated factor (viaf), mRNA",-2.061721812,3.360984902,31.63093037,1.86E-08,4.18E-06,Reproductive
GB49547,#N/A,XM_006560559.1," PREDICTED: Apis mellifera histone acetyltransferase KAT6B-like (LOC100578887), transcript variant X2, mRNA",-2.05927842,4.975439727,23.2565117,1.42E-06,9.31E-05,Reproductive
GB52924,#N/A,XM_006568250.1," PREDICTED: Apis mellifera neurobeachin-like (LOC724172), mRNA",-2.058423272,2.083941787,20.62723331,5.58E-06,0.000241062,Reproductive
GB49569,#N/A,#N/A,#N/A,-2.050015624,-0.736990652,10.88438063,0.000969786,0.010309297,Reproductive
GB43779,FBgn0036689,XM_003249421.2," PREDICTED: Apis mellifera uncharacterized LOC100577849 (LOC100577849), mRNA",-2.042464476,3.199189747,24.5371789,7.29E-07,5.63E-05,Reproductive
GB50500,#N/A,XM_001120426.3," PREDICTED: Apis mellifera ubiquitin carboxyl-terminal hydrolase 36-like (LOC724537), transcript variant X1, mRNA",-2.038633916,-1.367707036,19.95457284,7.93E-06,0.00030509,Reproductive
GB45096,#N/A,NM_001278706.1," Apis mellifera uncharacterized LOC725821 (LOC725821), mRNA",-2.037641876,5.145387013,29.45333022,5.73E-08,9.26E-06,Reproductive
GB41700,FBgn0031855,XM_006565680.1," PREDICTED: Apis mellifera serine/threonine-protein kinase SBK1-like (LOC410562), transcript variant X1, mRNA",-2.033593518,3.447103869,21.31771126,3.89E-06,0.000183067,Reproductive
GB40294,#N/A,#N/A,#N/A,-2.032966057,2.198986037,16.76071571,4.24E-05,0.001059774,Reproductive
GB49758,#N/A,XM_003251155.2," PREDICTED: Apis mellifera uncharacterized LOC100578691 (LOC100578691), transcript variant X1, mRNA",-2.032014353,3.879755589,22.86507312,1.74E-06,0.00010643,Reproductive
GB51311,#N/A,#N/A,#N/A,-2.029816696,-0.376137566,14.71543601,0.000125019,0.002336756,Reproductive
GB49891,#N/A,XM_006565000.1," PREDICTED: Apis mellifera cytochrome P450 6AS17 (CYP6AS17), transcript variant X1, mRNA",-2.029766744,4.184386861,22.58173368,2.01E-06,0.000117705,Reproductive
GB42877,#N/A,XM_392538.5," PREDICTED: Apis mellifera uncharacterized LOC409009 (LOC409009), transcript variant 1, mRNA",-2.025776452,3.923033163,43.92745407,3.41E-11,7.03E-08,Reproductive
GB55021,#N/A,#N/A,#N/A,-2.021713775,0.178165801,22.38772487,2.23E-06,0.000126327,Reproductive
