GeneID,D_melanogaster_Protein_ID,D_melanogaster_Gene_ID,accession,Gene_name
GB40030,FBpp0079295,FBgn0032054,XM_006571117.1," PREDICTED: Apis mellifera adenylyltransferase and sulfurtransferase MOCS3 (LOC724496), mRNA"
GB40031,#N/A,#N/A,XM_006571130.1," PREDICTED: Apis mellifera proteasome subunit alpha type-6-like (LOC100578243), mRNA"
GB40032,FBpp0077570,FBgn0031361,XM_006571116.1," PREDICTED: Apis mellifera rRNA-processing protein UTP23 homolog (LOC550996), mRNA"
GB40033,FBpp0079885,FBgn0027505,XM_006571131.1," PREDICTED: Apis mellifera rab3 GTPase-activating protein non-catalytic subunit-like (LOC100578281), mRNA"
GB40034,#N/A,#N/A,XM_006571132.1," PREDICTED: Apis mellifera uncharacterized LOC102655530 (LOC102655530), mRNA"
GB40036,#N/A,#N/A,XM_006572467.1," PREDICTED: Apis mellifera uncharacterized LOC102655871 (LOC102655871), mRNA"
GB40037,#N/A,#N/A,XM_001123193.3," PREDICTED: Apis mellifera kinesin-like protein unc-104-like (LOC727484), mRNA"
GB40038,#N/A,#N/A,XM_624515.3," PREDICTED: Apis mellifera bumetanide-sensitive sodium-(potassium)-chloride cotransporter-like (LOC552136), mRNA"
GB40040,#N/A,#N/A,XM_006572711.1," PREDICTED: Apis mellifera uncharacterized LOC102656364 (LOC102656364), partial mRNA"
GB40045,#N/A,#N/A,XM_006572590.1," PREDICTED: Apis mellifera homoserine O-acetyltransferase-like (LOC102654407), partial mRNA"
GB40046,#N/A,#N/A,XM_006566463.1," PREDICTED: Apis mellifera mitochondrial Rho (Miro), transcript variant X1, mRNA"
GB40047,FBpp0088574,FBgn0016034,XM_006571971.1," PREDICTED: Apis mellifera protein maelstrom 2-like (LOC100576828), transcript variant X1, mRNA"
GB40053,FBpp0085328,FBgn0033058,XM_006560429.1," PREDICTED: Apis mellifera gastrin-releasing peptide receptor-like (LOC413550), mRNA"
GB40054,#N/A,#N/A,XM_006560429.1," PREDICTED: Apis mellifera gastrin-releasing peptide receptor-like (LOC413550), mRNA"
GB40056,FBpp0075970,FBgn0052069,XM_001120067.3," PREDICTED: Apis mellifera immediate early response 3-interacting protein 1-like (LOC724829), transcript variant X1, mRNA"
GB40057,FBpp0078974,FBgn0004838,XM_006560415.1," PREDICTED: Apis mellifera heterogeneous nuclear ribonucleoprotein 27C-like (LOC409961), transcript variant X1, mRNA"
GB40059,#N/A,#N/A,XM_003249625.2," PREDICTED: Apis mellifera ankyrin repeat and death domain-containing protein 1A-like (LOC100576924), transcript variant X1, mRNA"
GB40060,#N/A,#N/A,XM_006560409.1," PREDICTED: Apis mellifera neuroendocrine convertase 1-like (LOC410438), mRNA"
GB40061,#N/A,#N/A,XM_006560412.1," PREDICTED: Apis mellifera lachesin-like (LOC410439), transcript variant X2, mRNA"
GB40063,#N/A,#N/A,XM_006560407.1," PREDICTED: Apis mellifera uncharacterized LOC410442 (LOC410442), transcript variant X4, mRNA"
GB40064,#N/A,#N/A,XM_006560401.1," PREDICTED: Apis mellifera protein tyrosine phosphatase domain-containing protein 1-like (LOC102655054), transcript variant X2, mRNA"
GB40065,#N/A,#N/A,XR_408725.1," PREDICTED: Apis mellifera uncharacterized LOC102655027 (LOC102655027), ncRNA"
GB40067,#N/A,#N/A,XR_408688.1," PREDICTED: Apis mellifera receptor interacting protein kinase 5 (Ripk5), transcript variant X4, misc_RNA"
GB40069,FBpp0289452,FBgn0034286,XM_001121446.3," PREDICTED: Apis mellifera hemicentin-2-like (LOC725619), mRNA"
GB40070,#N/A,#N/A,XM_003249622.2," PREDICTED: Apis mellifera transmembrane protein 45B-like (LOC725753), mRNA"
GB40071,FBpp0079789,FBgn0032348,XM_393926.4," PREDICTED: Apis mellifera MPN domain-containing protein CG4751 ortholog (LOC410446), mRNA"
GB40072,FBpp0079874,FBgn0032393,XM_393524.4," PREDICTED: Apis mellifera cysteine desulfurase-like protein (LOC410039), transcript variant X3, mRNA"
GB40073,FBpp0079262,FBgn0261437,XM_391971.5," PREDICTED: Apis mellifera COP9 signalosome complex subunit 8-like (LOC408424), mRNA"
GB40074,FBpp0080927,FBgn0014859,XM_006560394.1," PREDICTED: Apis mellifera hormone receptor-like in 38 (Hr38), transcript variant X1, mRNA"
GB40075,FBpp0294037,FBgn0262743,XM_006560389.1," PREDICTED: Apis mellifera karyopherin (importin) beta 1 (KPNB1), transcript variant X1, mRNA"
GB40076,FBpp0080925,FBgn0032879,XM_393928.4," PREDICTED: Apis mellifera organic cation transporter 1-like (LOC410448), transcript variant X2, mRNA"
GB40077,FBpp0073789,FBgn0027601,XM_001121814.3," PREDICTED: Apis mellifera probable 4-coumarate--CoA ligase 3-like (LOC726040), transcript variant X1, mRNA"
GB40079,#N/A,#N/A,XM_003249638.2," PREDICTED: Apis mellifera uncharacterized LOC100578957 (LOC100578957), mRNA"
GB40080,#N/A,#N/A,XM_003249638.2," PREDICTED: Apis mellifera uncharacterized LOC100578957 (LOC100578957), mRNA"
GB40083,FBpp0079801,FBgn0032358,XM_391973.4," PREDICTED: Apis mellifera palmitoyl-protein thioesterase 2 (Ppt2), transcript variant 2, mRNA"
GB40084,#N/A,#N/A,XM_006560428.1," PREDICTED: Apis mellifera DNA ligase 1-like (LOC102656433), mRNA"
GB40085,FBpp0070798,FBgn0029807,XM_006560375.1," PREDICTED: Apis mellifera carboxypeptidase B-like (LOC410452), mRNA"
GB40086,#N/A,#N/A,XM_006560374.1," PREDICTED: Apis mellifera putative sodium-dependent multivitamin transporter-like (LOC410454), mRNA"
GB40087,#N/A,#N/A,XM_006560331.1," PREDICTED: Apis mellifera Ca2+-channel-protein-beta-subunit (Ca-beta), transcript variant X2, mRNA"
GB40089,FBpp0297477,FBgn0259822,XM_006560333.1," PREDICTED: Apis mellifera Ca2+-channel-protein-beta-subunit (Ca-beta), transcript variant X4, mRNA"
GB40091,FBpp0073665,FBgn0030530,XM_391978.4," PREDICTED: Apis mellifera uncharacterized LOC408431 (LOC408431), mRNA"
GB40092,#N/A,#N/A,XM_003249633.2," PREDICTED: Apis mellifera uncharacterized LOC100578090 (LOC100578090), mRNA"
GB40093,#N/A,#N/A,XM_003249632.2," PREDICTED: Apis mellifera FMRFamide-related neuropeptides-like (LOC100578023), transcript variant X1, mRNA"
GB40094,#N/A,#N/A,XM_006560274.1," PREDICTED: Apis mellifera ecdysis triggering hormone (Eth), transcript variant X1, mRNA"
GB40095,FBpp0289353,FBgn0000157,XM_006560304.1," PREDICTED: Apis mellifera distal-less (Dll), transcript variant X3, mRNA"
GB40098,FBpp0078093,FBgn0022936,XM_393939.5," PREDICTED: Apis mellifera cyclin H (CycH), mRNA"
GB40100,FBpp0110299,FBgn0000163,XM_006560318.1," PREDICTED: Apis mellifera partitioning defective 3 homolog (LOC102654373), mRNA"
GB40101,#N/A,#N/A,XR_408690.1," PREDICTED: Apis mellifera uncharacterized LOC102653949 (LOC102653949), transcript variant X1, ncRNA"
GB40102,FBpp0077448,FBgn0031422,XM_001122536.2," PREDICTED: Apis mellifera GPI-anchored wall transfer protein 1-like (LOC726815), mRNA"
GB40103,#N/A,#N/A,XM_003249635.2," PREDICTED: Apis mellifera uncharacterized LOC100578511 (LOC100578511), mRNA"
GB40106,FBpp0077447,FBgn0031421,XM_006560306.1," PREDICTED: Apis mellifera uncharacterized glycosyltransferase AER61-like (LOC408434), transcript variant X1, mRNA"
GB40107,#N/A,#N/A,XM_393943.5," PREDICTED: Apis mellifera ATPase WRNIP1-like (LOC410463), transcript variant X2, mRNA"
GB40108,FBpp0078848,FBgn0029161,XM_624730.4," PREDICTED: Apis mellifera protein slowmo-like (LOC552354), transcript variant 1, mRNA"
GB40109,FBpp0089387,FBgn0004797,XM_624751.4," PREDICTED: Apis mellifera midway (mdy), transcript variant X3, mRNA"
GB40110,#N/A,#N/A,XM_006560317.1," PREDICTED: Apis mellifera uncharacterized LOC100577222 (LOC100577222), transcript variant X6, mRNA"
GB40112,#N/A,#N/A,XM_006560320.1," PREDICTED: Apis mellifera uncharacterized LOC410462 (LOC410462), mRNA"
GB40113,FBpp0076481,FBgn0027554,XM_391980.5," PREDICTED: Apis mellifera UBX domain-containing protein 4-like (LOC408433), transcript variant 1, mRNA"
GB40114,FBpp0085536,FBgn0034520,XM_006560321.1," PREDICTED: Apis mellifera homeobox protein ceh-19-like (LOC102654608), mRNA"
GB40115,#N/A,#N/A,XR_408702.1," PREDICTED: Apis mellifera uncharacterized LOC102654690 (LOC102654690), transcript variant X2, ncRNA"
GB40118,FBpp0073131,FBgn0004516,XM_391979.5," PREDICTED: Apis mellifera glutamate decarboxylase-like (LOC408432), transcript variant X1, mRNA"
GB40119,FBpp0073134,FBgn0016013,XM_006560427.1," PREDICTED: Apis mellifera fumarylacetoacetase (Faa), mRNA"
GB40120,FBpp0086539,FBgn0033985,XM_001122369.3," PREDICTED: Apis mellifera fas apoptotic inhibitory molecule 1-like (LOC726648), mRNA"
GB40121,#N/A,#N/A,XM_006560324.1," PREDICTED: Apis mellifera uncharacterized LOC102654986 (LOC102654986), mRNA"
GB40122,FBpp0077785,FBgn0031235,XM_001122338.3," PREDICTED: Apis mellifera uncharacterized LOC726613 (LOC726613), mRNA"
GB40123,#N/A,#N/A,XM_006560325.1," PREDICTED: Apis mellifera angiotensin-converting enzyme-like (LOC726599), mRNA"
GB40124,FBpp0077059,FBgn0031188,XM_006560325.1," PREDICTED: Apis mellifera angiotensin-converting enzyme-like (LOC726599), mRNA"
GB40125,#N/A,#N/A,XM_003249634.2," PREDICTED: Apis mellifera uncharacterized LOC100578263 (LOC100578263), transcript variant X1, mRNA"
GB40126,FBpp0078789,FBgn0031745,XM_393936.5," PREDICTED: Apis mellifera uncharacterized LOC410456 (LOC410456), transcript variant X5, mRNA"
GB40128,#N/A,#N/A,XR_408712.1," PREDICTED: Apis mellifera uncharacterized LOC726547 (LOC726547), transcript variant X14, misc_RNA"
GB40129,FBpp0079794,FBgn0052830,XR_408712.1," PREDICTED: Apis mellifera uncharacterized LOC726547 (LOC726547), transcript variant X14, misc_RNA"
GB40130,FBpp0079793,FBgn0259750,XM_006560356.1," PREDICTED: Apis mellifera uncharacterized LOC726547 (LOC726547), transcript variant X10, mRNA"
GB40132,#N/A,#N/A,XM_006560373.1," PREDICTED: Apis mellifera blistery (by), transcript variant X14, mRNA"
GB40133,#N/A,#N/A,XM_006560371.1," PREDICTED: Apis mellifera blistery (by), transcript variant X12, mRNA"
GB40134,FBpp0081597,FBgn0000244,XM_006560370.1," PREDICTED: Apis mellifera blistery (by), transcript variant X11, mRNA"
GB40135,FBpp0074185,FBgn0030815,XM_001122133.3," PREDICTED: Apis mellifera carboxypeptidase B-like (LOC726391), mRNA"
GB40136,#N/A,#N/A,XM_001122095.3," PREDICTED: Apis mellifera serine protease 17 (SP17), mRNA"
GB40137,FBpp0079916,FBgn0263234,XM_001122095.3," PREDICTED: Apis mellifera serine protease 17 (SP17), mRNA"
GB40138,#N/A,#N/A,XM_001122073.3," PREDICTED: Apis mellifera serine protease 32 (SP32), mRNA"
GB40139,FBpp0077688,FBgn0002936,XM_391975.4," PREDICTED: Apis mellifera peptidyl-prolyl cis-trans isomerase B-like (LOC408428), transcript variant X2, mRNA"
GB40140,FBpp0289561,FBgn0031993,XM_006560385.1," PREDICTED: Apis mellifera protein PIEZO2-like (LOC408427), transcript variant X9, mRNA"
GB40141,FBpp0083269,FBgn0038738,NM_001159303.1," Apis mellifera venom serine carboxypeptidase (LOC410451), mRNA"
GB40142,FBpp0078969,FBgn0051632,XM_003249629.2," PREDICTED: Apis mellifera zinc finger protein 62-like (LOC100577543), mRNA"
GB40143,#N/A,#N/A,XR_408716.1," PREDICTED: Apis mellifera uncharacterized LOC100578992 (LOC100578992), ncRNA"
GB40144,#N/A,#N/A,XR_408719.1," PREDICTED: Apis mellifera uncharacterized LOC102654051 (LOC102654051), transcript variant X3, ncRNA"
GB40145,FBpp0077721,FBgn0031257,XM_393929.5," PREDICTED: Apis mellifera uncharacterized LOC410449 (LOC410449), transcript variant X2, mRNA"
GB40146,FBpp0072476,FBgn0035155,XM_006560396.1," PREDICTED: Apis mellifera RabX6 protein (RabX6), mRNA"
GB40147,FBpp0077539,FBgn0031375,XM_003249630.2," PREDICTED: Apis mellifera fez family zinc finger protein 2-like (LOC100577696), mRNA"
GB40148,FBpp0080798,FBgn0032810,XM_003249623.2," PREDICTED: Apis mellifera uncharacterized LOC100576555 (LOC100576555), mRNA"
GB40149,#N/A,#N/A,XM_006560399.1," PREDICTED: Apis mellifera COMM domain-containing protein 7-like (LOC102654920), mRNA"
GB40150,FBpp0293409,FBgn0262477,XM_006560288.1," PREDICTED: Apis mellifera FoxP protein (Foxp), transcript variant X14, mRNA"
GB40151,FBpp0073895,FBgn0040285,XM_393921.5," PREDICTED: Apis mellifera secretory carrier membrane protein (Scamp), transcript variant X2, mRNA"
GB40153,#N/A,#N/A,XM_001121214.3," PREDICTED: Apis mellifera uncharacterized LOC725354 (LOC725354), transcript variant X1, mRNA"
GB40154,#N/A,#N/A,XM_001121214.3," PREDICTED: Apis mellifera uncharacterized LOC725354 (LOC725354), transcript variant X1, mRNA"
GB40155,#N/A,#N/A,XM_001121214.3," PREDICTED: Apis mellifera uncharacterized LOC725354 (LOC725354), transcript variant X1, mRNA"
GB40157,FBpp0112997,FBgn0039311,XM_623682.4," PREDICTED: Apis mellifera uncharacterized LOC408421 (LOC408421), transcript variant X2, mRNA"
GB40158,#N/A,#N/A,XM_006560409.1," PREDICTED: Apis mellifera neuroendocrine convertase 1-like (LOC410438), mRNA"
GB40159,#N/A,#N/A,XM_003249625.2," PREDICTED: Apis mellifera ankyrin repeat and death domain-containing protein 1A-like (LOC100576924), transcript variant X1, mRNA"
GB40160,#N/A,#N/A,XM_006560416.1," PREDICTED: Apis mellifera heterogeneous nuclear ribonucleoprotein 27C-like (LOC409961), transcript variant X2, mRNA"
GB40161,#N/A,#N/A,XM_006560420.1," PREDICTED: Apis mellifera chondroitin syntase (LOC413549), transcript variant X2, mRNA"
GB40162,FBpp0073880,FBgn0030662,XM_006560420.1," PREDICTED: Apis mellifera chondroitin syntase (LOC413549), transcript variant X2, mRNA"
GB40163,FBpp0085560,FBgn0034539,XM_001120136.3," PREDICTED: Apis mellifera lysozyme 2 (Lys-2), mRNA"
GB40164,#N/A,#N/A,XM_001120136.3," PREDICTED: Apis mellifera lysozyme 2 (Lys-2), mRNA"
GB40165,#N/A,#N/A,XM_393452.5," PREDICTED: Apis mellifera uncharacterized LOC409962 (LOC409962), mRNA"
GB40166,#N/A,#N/A,XM_393453.5," PREDICTED: Apis mellifera 6-phosphofructo-2-kinase (Pfrx), transcript variant X1, mRNA"
GB40167,#N/A,#N/A,XM_006560425.1," PREDICTED: Apis mellifera 6-phosphofructo-2-kinase (Pfrx), transcript variant X2, mRNA"
GB40168,#N/A,#N/A,XM_006560425.1," PREDICTED: Apis mellifera 6-phosphofructo-2-kinase (Pfrx), transcript variant X2, mRNA"
GB40169,FBpp0086052,FBgn0050106,XM_006560423.1," PREDICTED: Apis mellifera gastrin-releasing peptide receptor-like (LOC411632), transcript variant X2, mRNA"
GB40170,#N/A,#N/A,XM_006560422.1," PREDICTED: Apis mellifera myosin-4-like (LOC102655978), mRNA"
GB40173,#N/A,#N/A,XM_006572651.1," PREDICTED: Apis mellifera major facilitator superfamily domain-containing protein 3-like (LOC102654962), mRNA"
GB40175,#N/A,#N/A,XR_412319.1," PREDICTED: Apis mellifera S phase cyclin A-associated protein in the endoplasmic reticulum-like (LOC100577405), ncRNA"
GB40178,#N/A,#N/A,XM_003251953.1," PREDICTED: Apis mellifera leucine-responsive regulatory protein-like (LOC100577391), partial mRNA"
GB40180,#N/A,#N/A,XM_001119896.3," PREDICTED: Apis mellifera probable malate dehydrogenase, mitochondrial-like (LOC724677), mRNA"
GB40183,#N/A,#N/A,XM_006558324.1," PREDICTED: Apis mellifera odorant receptor 78 (Or78), transcript variant X1, mRNA"
GB40184,#N/A,#N/A,XM_006558326.1," PREDICTED: Apis mellifera odorant receptor Or2-like (LOC100576282), mRNA"
GB40185,#N/A,#N/A,XM_006558327.1," PREDICTED: Apis mellifera putative odorant receptor 13a-like (LOC102653606), mRNA"
GB40186,#N/A,#N/A,XM_006558328.1," PREDICTED: Apis mellifera putative odorant receptor 13a-like (LOC724590), mRNA"
GB40187,#N/A,#N/A,XM_003249220.2," PREDICTED: Apis mellifera putative odorant receptor 13a-like (LOC100576246), mRNA"
GB40188,#N/A,#N/A,XM_003249219.2," PREDICTED: Apis mellifera odorant receptor Or2-like (LOC100576212), mRNA"
GB40189,#N/A,#N/A,XM_003249219.2," PREDICTED: Apis mellifera odorant receptor Or2-like (LOC100576212), mRNA"
GB40190,#N/A,#N/A,XM_003249234.2," PREDICTED: Apis mellifera odorant receptor Or2-like (LOC100577062), mRNA"
GB40191,#N/A,#N/A,XM_003249234.2," PREDICTED: Apis mellifera odorant receptor Or2-like (LOC100577062), mRNA"
GB40192,#N/A,#N/A,XM_003249233.2," PREDICTED: Apis mellifera uncharacterized LOC100577024 (LOC100577024), mRNA"
GB40193,#N/A,#N/A,XM_006558323.1," PREDICTED: Apis mellifera putative odorant receptor 13a-like (LOC102656838), mRNA"
GB40194,#N/A,#N/A,XM_003249232.1," PREDICTED: Apis mellifera uncharacterized LOC100576980 (LOC100576980), mRNA"
GB40195,#N/A,#N/A,XM_003249231.1," PREDICTED: Apis mellifera uncharacterized LOC100576940 (LOC100576940), mRNA"
GB40196,#N/A,#N/A,XR_407817.1," PREDICTED: Apis mellifera uncharacterized LOC724911 (LOC724911), misc_RNA"
GB40197,#N/A,#N/A,XR_407817.1," PREDICTED: Apis mellifera uncharacterized LOC724911 (LOC724911), misc_RNA"
GB40198,#N/A,#N/A,XM_006558322.1," PREDICTED: Apis mellifera putative odorant receptor 13a-like (LOC724958), mRNA"
GB40200,#N/A,#N/A,XM_001120948.3," PREDICTED: Apis mellifera odorant receptor 94 (Or94), mRNA"
GB40201,#N/A,#N/A,XM_003249230.2," PREDICTED: Apis mellifera odorant receptor Or2-like (LOC100576839), mRNA"
GB40202,#N/A,#N/A,XM_003249216.2," PREDICTED: Apis mellifera putative odorant receptor 67c-like (LOC100576111), mRNA"
GB40203,FBpp0288490,FBgn0051028,XM_006558333.1," PREDICTED: Apis mellifera copper transporter superoxide dismutase (CT-SOD), partial mRNA"
GB40204,#N/A,#N/A,XM_006558332.1," PREDICTED: Apis mellifera RNA polymerase II 140kD subunit (RpII140), mRNA"
GB40205,FBpp0082353,FBgn0262955,XM_006558332.1," PREDICTED: Apis mellifera RNA polymerase II 140kD subunit (RpII140), mRNA"
GB40206,FBpp0073587,FBgn0030466,XM_006558319.1," PREDICTED: Apis mellifera probable G-protein coupled receptor 125-like (LOC552108), mRNA"
GB40207,FBpp0082542,FBgn0021750,XM_006558318.1," PREDICTED: Apis mellifera seryl-tRNA synthetase (Aats-ser), mRNA"
GB40208,FBpp0083135,FBgn0038666,XM_393446.5," PREDICTED: Apis mellifera WD40 repeat-containing protein SMU1-like (LOC409955), transcript variant 1, mRNA"
GB40209,FBpp0081318,FBgn0010433,XM_006558315.1," PREDICTED: Apis mellifera protein atonal-like (LOC102656170), transcript variant X1, mRNA"
GB40211,FBpp0082754,FBgn0038446,XM_003249243.2," PREDICTED: Apis mellifera putative peptidyl-tRNA hydrolase PTRHD1-like (LOC725196), transcript variant X2, mRNA"
GB40212,#N/A,#N/A,XM_001121335.3," PREDICTED: Apis mellifera extracellular domains-containing protein CG31004-like (LOC725498), transcript variant X1, mRNA"
GB40214,#N/A,#N/A,XR_407805.1," PREDICTED: Apis mellifera uncharacterized LOC102655518 (LOC102655518), ncRNA"
GB40217,FBpp0070913,FBgn0025815,XM_006558304.1," PREDICTED: Apis mellifera DNA replication licensing factor Mcm6-like (LOC413064), transcript variant X1, mRNA"
GB40218,#N/A,#N/A,XM_006558330.1," PREDICTED: Apis mellifera urea transporter 2-like (LOC100576458), mRNA"
GB40219,#N/A,#N/A,XM_006558301.1," PREDICTED: Apis mellifera uncharacterized LOC100576428 (LOC100576428), mRNA"
GB40221,FBpp0084454,FBgn0039465,XM_006558299.1," PREDICTED: Apis mellifera tetraspanin-31-like (LOC551248), mRNA"
GB40222,#N/A,#N/A,XM_393450.5," PREDICTED: Apis mellifera cell division control protein 2 cognate (cdc2c), transcript variant 2, mRNA"
GB40225,#N/A,#N/A,XR_407801.1," PREDICTED: Apis mellifera uncharacterized LOC551115 (LOC551115), misc_RNA"
GB40226,#N/A,#N/A,XR_407801.1," PREDICTED: Apis mellifera uncharacterized LOC551115 (LOC551115), misc_RNA"
GB40227,#N/A,#N/A,XM_006558300.1," PREDICTED: Apis mellifera facilitated trehalose transporter Tret1-like (LOC412797), mRNA"
GB40228,#N/A,#N/A,XM_003249226.2," PREDICTED: Apis mellifera uncharacterized LOC100576488 (LOC100576488), transcript variant X1, mRNA"
GB40229,#N/A,#N/A,XM_003249227.2," PREDICTED: Apis mellifera collagen alpha-2(IX) chain-like (LOC100576526), mRNA"
GB40230,#N/A,#N/A,XM_003249227.2," PREDICTED: Apis mellifera collagen alpha-2(IX) chain-like (LOC100576526), mRNA"
GB40231,FBpp0292667,FBgn0259244,XR_407812.1," PREDICTED: Apis mellifera collagen alpha chain CG42342-like (LOC551490), transcript variant X4, misc_RNA"
GB40232,FBpp0073594,FBgn0040309,XM_003249241.2," PREDICTED: Apis mellifera thioredoxin peroxidase 1 (Tpx-1), mRNA"
GB40233,#N/A,#N/A,XM_006558331.1," PREDICTED: Apis mellifera uncharacterized LOC725246 (LOC725246), mRNA"
GB40234,FBpp0081353,FBgn0037565,XM_006558331.1," PREDICTED: Apis mellifera uncharacterized LOC725246 (LOC725246), mRNA"
GB40237,FBpp0271781,FBgn0001247,XM_396981.5," PREDICTED: Apis mellifera insulin-degrading enzyme-like (LOC413539), transcript variant X2, mRNA"
GB40238,FBpp0078980,FBgn0021944,XM_003249214.2," PREDICTED: Apis mellifera coproporphyrinogen-III oxidase-like (LOC552084), mRNA"
GB40239,FBpp0078559,FBgn0037241,XM_395812.5," PREDICTED: Apis mellifera transmembrane protein 129-like (LOC412351), transcript variant X2, mRNA"
GB40240,FBpp0088688,FBgn0002773,XM_006558321.1," PREDICTED: Apis mellifera myosin regulatory light chain 2 (Mlc2), mRNA"
GB40243,#N/A,#N/A,XM_397551.5," PREDICTED: Apis mellifera uncharacterized LOC409257 (LOC409257), transcript variant X2, mRNA"
GB40245,#N/A,#N/A,XM_006572712.1," PREDICTED: Apis mellifera uncharacterized LOC102656406 (LOC102656406), mRNA"
GB40246,#N/A,#N/A,XR_412597.1," PREDICTED: Apis mellifera uncharacterized LOC100578521 (LOC100578521), ncRNA"
GB40247,#N/A,#N/A,XM_395389.5," PREDICTED: Apis mellifera ubiquitin carboxyl-terminal hydrolase 22-like (LOC411920), mRNA"
GB40248,#N/A,#N/A,XM_397347.4," PREDICTED: Apis mellifera cytochrome P450 6AS12 (CYP6AS12), transcript variant X2, mRNA"
GB40249,#N/A,#N/A,XM_003251985.2," PREDICTED: Apis mellifera uncharacterized LOC100577523 (LOC100577523), mRNA"
GB40251,FBpp0089118,FBgn0003396,XM_006572115.1," PREDICTED: Apis mellifera schnurri (shn), transcript variant X1, mRNA"
GB40252,FBpp0111294,FBgn0262954,XM_001122738.3," PREDICTED: Apis mellifera DNA-directed RNA polymerases I, II, and III subunit RPABC4-like (LOC727025), mRNA"
GB40253,#N/A,#N/A,XM_006572392.1," PREDICTED: Apis mellifera muscle-specific protein 20-like (LOC724711), mRNA"
GB40254,#N/A,#N/A,XM_006563447.1," PREDICTED: Apis mellifera probable palmitoyltransferase ZDHHC16-like (LOC412024), transcript variant X1, mRNA"
GB40259,FBpp0110448,FBgn0039965,XM_624961.3," PREDICTED: Apis mellifera hcp beta-lactamase-like protein CG13865-like (LOC552586), transcript variant 2, mRNA"
GB40261,FBpp0082228,FBgn0038149,XM_624974.4," PREDICTED: Apis mellifera gamma-interferon-inducible lysosomal thiol reductase-like (LOC552600), mRNA"
GB40262,#N/A,#N/A,XM_397161.5," PREDICTED: Apis mellifera uncharacterized LOC413721 (LOC413721), transcript variant X7, mRNA"
GB40263,#N/A,#N/A,XM_006557310.1," PREDICTED: Apis mellifera uncharacterized LOC413721 (LOC413721), transcript variant X1, mRNA"
